               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.015078,            0.044361,          0.00089773,             0.84125,             0.85824,              0.8833,             0.67886,            0.025774,            0.053845,            0.007449,            0.002674,            0.002674,            0.002674
                  76,            0.015056,            0.044725,          0.00088675,             0.83493,             0.87918,             0.89091,             0.68607,            0.025984,            0.054214,           0.0072753,            0.002575,            0.002575,            0.002575
                  77,            0.015004,            0.044749,          0.00086683,              0.8371,              0.8494,             0.86978,             0.67034,            0.025896,            0.054797,           0.0084189,            0.002476,            0.002476,            0.002476
                  78,            0.015023,               0.044,          0.00076561,             0.83995,             0.84439,             0.86722,             0.66345,            0.025653,            0.054417,           0.0095195,            0.002377,            0.002377,            0.002377
                  79,             0.01463,            0.042731,          0.00085995,             0.83183,             0.84854,             0.86319,             0.65845,            0.025696,             0.05467,           0.0078116,            0.002278,            0.002278,            0.002278
                  80,            0.014583,            0.043981,           0.0007398,              0.8406,             0.86908,             0.87149,             0.67171,            0.025691,            0.054654,           0.0083795,            0.002179,            0.002179,            0.002179
                  81,            0.014663,            0.042842,          0.00080865,             0.85443,             0.86203,             0.88103,             0.68006,            0.025949,            0.056001,           0.0081152,             0.00208,             0.00208,             0.00208
                  82,            0.014416,            0.043119,          0.00069836,             0.83157,             0.86755,              0.8615,             0.66386,            0.025752,            0.055442,            0.009023,            0.001981,            0.001981,            0.001981
                  83,             0.01448,            0.042807,          0.00062774,             0.85415,             0.83289,             0.86865,             0.67015,            0.025668,            0.054824,           0.0083295,            0.001882,            0.001882,            0.001882
                  84,            0.014476,            0.042736,          0.00069191,             0.77752,             0.86128,             0.84205,             0.64651,            0.025631,            0.056076,            0.011694,            0.001783,            0.001783,            0.001783
                  85,            0.014258,            0.041758,           0.0007165,             0.84373,             0.86488,             0.86264,             0.66587,            0.025924,            0.056172,           0.0087924,            0.001684,            0.001684,            0.001684
                  86,            0.014263,            0.042333,          0.00071832,               0.809,             0.84562,              0.8465,             0.65373,            0.025654,            0.055116,            0.010897,            0.001585,            0.001585,            0.001585
                  87,            0.014068,            0.041592,             0.00072,             0.80976,             0.84014,             0.84989,             0.65347,            0.025721,            0.056982,            0.011417,            0.001486,            0.001486,            0.001486
                  88,            0.013848,             0.04083,          0.00064852,             0.84507,             0.83353,             0.87522,             0.67422,            0.025868,            0.057426,            0.008898,            0.001387,            0.001387,            0.001387
                  89,            0.014054,             0.04187,          0.00062419,             0.83811,             0.88735,             0.87332,             0.67291,            0.025793,             0.05654,           0.0082142,            0.001288,            0.001288,            0.001288
                  90,            0.014033,            0.042654,          0.00071622,             0.83437,             0.84604,             0.86946,             0.66965,            0.025863,            0.056458,           0.0090987,            0.001189,            0.001189,            0.001189
                  91,             0.01394,             0.04166,          0.00062674,             0.82979,             0.83742,             0.85565,             0.65686,            0.025875,            0.057258,            0.010298,             0.00109,             0.00109,             0.00109
                  92,            0.013835,            0.041749,          0.00055327,             0.82897,             0.84225,             0.87051,             0.67196,            0.026126,             0.05727,           0.0092485,            0.000991,            0.000991,            0.000991
                  93,            0.013696,            0.040561,          0.00054942,             0.83887,             0.86646,             0.86817,             0.67106,            0.026114,             0.05789,           0.0088511,            0.000892,            0.000892,            0.000892
                  94,            0.013685,            0.041582,          0.00055262,             0.82807,             0.85325,              0.8623,             0.66673,              0.0261,            0.057666,            0.010471,            0.000793,            0.000793,            0.000793
                  95,            0.013488,            0.039767,          0.00056637,             0.82333,             0.85294,             0.86315,             0.66542,            0.026083,            0.057922,            0.009815,            0.000694,            0.000694,            0.000694
                  96,            0.013512,            0.040316,          0.00052868,             0.85283,             0.84183,             0.87599,             0.67978,            0.025981,            0.058411,           0.0089643,            0.000595,            0.000595,            0.000595
                  97,            0.013555,            0.040454,          0.00047952,             0.83237,             0.85363,             0.86046,             0.66663,            0.026009,            0.058255,           0.0095872,            0.000496,            0.000496,            0.000496
                  98,            0.013413,            0.040141,          0.00056306,             0.83387,              0.8595,             0.86635,             0.67065,            0.025994,            0.058477,           0.0094637,            0.000397,            0.000397,            0.000397
                  99,            0.013572,            0.041298,          0.00054568,             0.81683,             0.86838,             0.86111,             0.66606,             0.02599,            0.058226,            0.010018,            0.000298,            0.000298,            0.000298
